Date;Region/City;Region/City-Eng;Region_ID;Day-Confirmed;Day-Deaths;Day-Recovered;Confirmed;Deaths;Recovered
31/01/2020;Тюменская область;Tyumen Oblast;7200;10;0;0;10;0;0
31/01/2020;Забайкальский край;Zabaykalsky Krai;7500;10;0;0;10;0;0
12/02/2020;Тюменская область;Tyumen Oblast;7200;0;0;10;10;0;10
12/02/2020;Забайкальский край;Zabaykalsky Krai;7500;0;0;10;10;0;10
03/02/2020;Московская область;Moscow Oblast;5000;10;0;0;10;0;0
05/03/2020;Санкт-Петербург;Saint Petersburg (city);7800;10;0;0;10;0;0
06/03/2020;Москва;Moscow (city);7700;50;0;0;50;0;0
06/03/2020;Нижегородская область;Nizhny Novgorod Oblast;5200;10;0;0;10;0;0
07/03/2020;Москва;Moscow (city);7700;0;0;10;50;0;10
07/03/2020;Санкт-Петербург;Saint Petersburg (city);7800;10;0;0;20;0;0
07/03/2020;Липецкая область;Lipetsk Oblast;4800;30;0;0;30;0;0
08/03/2020;Московская область;Moscow Oblast;5000;10;0;0;20;0;0
08/03/2020;Белгородская область;Belgorod Oblast;3100;10;0;0;10;0;0
08/03/2020;Калининградская область;Kaliningrad Oblast;3900;10;0;0;10;0;0
09/03/2020;Москва;Moscow (city);7700;30;0;0;80;0;10
11/03/2020;Москва;Moscow (city);7700;60;0;0;140;0;10
11/03/2020;Московская область;Moscow Oblast;5000;20;0;0;40;0;0
12/03/2020;Москва;Moscow (city);7700;40;0;0;180;0;10
12/03/2020;Калининградская область;Kaliningrad Oblast;3900;10;0;0;20;0;0
12/03/2020;Краснодарский край;Krasnodar Krai;2300;10;0;0;10;0;0
13/03/2020;Москва;Moscow (city);7700;50;0;0;230;0;10
13/03/2020;Московская область;Moscow Oblast;5000;10;0;0;50;0;0
13/03/2020;Санкт-Петербург;Saint Petersburg (city);7800;30;0;0;50;0;0
13/03/2020;Ленинградская область;Leningrad Oblast;4700;10;0;0;10;0;0
13/03/2020;Пермский край;Perm Krai;5900;10;0;0;10;0;0
14/03/2020;Москва;Moscow (city);7700;90;0;0;320;0;10
14/03/2020;Московская область;Moscow Oblast;5000;10;0;0;60;0;0
14/03/2020;Санкт-Петербург;Saint Petersburg (city);7800;10;0;0;60;0;0
14/03/2020;Кемеровская область;Kemerovo Oblast;4200;20;0;0;20;0;0
14/03/2020;Калининградская область;Kaliningrad Oblast;3900;10;0;0;30;0;0
15/03/2020;Московская область;Moscow Oblast;5000;30;0;0;90;0;0
15/03/2020;Тюменская область;Tyumen Oblast;7200;10;0;0;20;0;10
16/03/2020;Москва;Moscow (city);7700;200;0;0;520;0;10
16/03/2020;Санкт-Петербург;Saint Petersburg (city);7800;30;0;20;90;0;20
16/03/2020;Московская область;Moscow Oblast;5000;10;0;0;100;0;0
16/03/2020;Самарская область;Samara Oblast;6300;30;0;0;30;0;0
16/03/2020;Кировская область;Kirov Oblast;4300;10;0;0;10;0;0
16/03/2020;Пермский край;Perm Krai;5900;10;0;0;20;0;0
16/03/2020;Республика Коми;Komi Republic;1100;10;0;0;10;0;0
17/03/2020;Москва;Moscow (city);7700;30;0;0;550;0;10
17/03/2020;Самарская область;Samara Oblast;6300;20;0;0;50;0;0
17/03/2020;Калининградская область;Kaliningrad Oblast;3900;20;0;0;50;0;0
17/03/2020;Тверская область;Tver Oblast;6900;20;0;0;20;0;0
17/03/2020;Московская область;Moscow Oblast;5000;20;0;0;120;0;0
17/03/2020;Красноярский край;Krasnoyarsk Krai;2400;10;0;0;10;0;0
17/03/2020;Тамбовская область;Tambov Oblast;6800;10;0;0;10;0;0
17/03/2020;Калужская область;Kaluga Oblast;4000;10;0;0;10;0;0
17/03/2020;Нижегородская область;Nizhny Novgorod Oblast;5200;10;0;10;20;0;10
17/03/2020;Пензенская область;Penza Oblast;5800;10;0;0;10;0;0
17/03/2020;Республика Татарстан;Republic of Tatarstan;1600;10;0;0;10;0;0
17/03/2020;Республика Хакасия;Republic of Khakassia;1900;10;0;0;10;0;0
17/03/2020;Свердловская область;Sverdlovsk Oblast;6600;10;0;0;10;0;0
17/03/2020;Архангельская область;Arkhangelsk Oblast;2900;10;0;0;10;0;0
17/03/2020;Ярославская область;Yaroslavl Oblast;7600;10;0;0;10;0;0
18/03/2020;Москва;Moscow (city);7700;310;0;0;860;0;10
18/03/2020;Томская область;Tomsk Oblast;7000;10;0;0;10;0;0
18/03/2020;Новосибирская область;Novosibirsk Oblast;5400;10;0;0;10;0;0
19/03/2020;Москва;Moscow (city);7700;120;0;40;980;0;50
19/03/2020;Московская область;Moscow Oblast;5000;50;0;10;170;0;10
19/03/2020;Свердловская область;Sverdlovsk Oblast;6600;50;0;0;60;0;0
19/03/2020;Тульская область;Tula Oblast;7100;30;0;0;30;0;0
19/03/2020;Красноярский край;Krasnoyarsk Krai;2400;30;0;0;40;0;0
19/03/2020;Хабаровский край;Khabarovsk Krai;2700;30;0;0;30;0;0
19/03/2020;Тамбовская область;Tambov Oblast;6800;20;0;0;30;0;0
19/03/2020;Воронежская область;Voronezh Oblast;3600;20;0;0;20;0;0
19/03/2020;Краснодарский край;Krasnodar Krai;2300;20;0;0;30;0;0
19/03/2020;Кировская область;Kirov Oblast;4300;20;0;0;30;0;0
19/03/2020;Ивановская область;Ivanovo Oblast;3700;10;0;0;10;0;0
19/03/2020;Рязанская область;Ryazan Oblast;6200;10;0;0;10;0;0
19/03/2020;Мурманская область;Murmansk Oblast;5100;10;0;0;10;0;0
19/03/2020;Нижегородская область;Nizhny Novgorod Oblast;5200;10;0;0;30;0;10
19/03/2020;Пермский край;Perm Krai;5900;10;0;0;30;0;0
19/03/2020;Новосибирская область;Novosibirsk Oblast;5400;10;0;0;20;0;0
19/03/2020;Республика Саха (Якутия);Sakha Republic (Yakutia);1400;10;0;0;10;0;0
19/03/2020;Оренбургская область;Orenburg Oblast;5600;10;0;0;10;0;0
19/03/2020;Ханты-Мансийский АО;Khanty-Mansi Autonomous Okrug;8600;10;0;0;10;0;0
19/03/2020;Санкт-Петербург;Saint Petersburg (city);7800;10;0;0;100;0;20
